Sumo ID,Category,SKU,MRP,Blinkit Identifier,Status,Instamart Identifier,Status,Zepto Identifier,Status,FKM Identifier,Status,BB Identifier,Status
1505,Chai Patti,Chaayos Adrak Elaichi 100g,139,10074977,Live,,Not - Live,a7e1f97f-08a3-4543-a82e-ff96af10a513,Live,TEAH35UP8DYXN3HJ,Live,40194559,Live
5751,Chai Patti,Chaayos Adrak Elaichi 250g,200,10191319,Live,635219,Live,d52b7752-4c21-4e72-9958-c7ea98808f5f,Live,TEAHAYPBP7TMMYHG,Live,40348266,Live
6330,Chai Patti,Chaayos Adrak Elaichi 500g,370,10256646,Live,799622,Live,38fe33c0-f0d0-4a9c-8edb-1ebfdbaee78f,Live,,Not - Live,,Not - Live
1504,Chai Patti,Chaayos Masala Tea 100g,139,10074976,Live,,Not - Live,bef6de38-e41e-47d8-8062-053f03695e14,Live,TEAH35UHKB2DCZPV,Live,40194561,Live
5749,Chai Patti,Chaayos Masala Tea 250g,190,10191317,Live,507889,Live,7e515301-e0b0-457e-ac48-fcf9b2046a44,Live,TEAHAYPBUWYAKVQH,Live,40348267,Live
6331,Chai Patti,Chaayos Masala Tea 500g,350,10256497,Live,956668,Live,20a24850-c956-4a49-a209-4cdb982fbaa4,Live,,Not - Live,,Not - Live
5916,Ice Tea,Chaayos Lemon Iced Tea Premix,106,10204493,Live,207582,Live,77ac4090-75f3-4c93-8409-187cbde76c94,Live,TEAHAYP6HSFNH6FZ,Live,40348265,Live
5915,Ice Tea,Chaayos Peach Iced Tea Premix,106,10204489,Live,115595,Live,b2bb7612-7113-4cf4-aaa2-67193799e995,Live,TEAHAYP6R3YEVR5Q,Live,40348264,Live
1960,Tea Bag,Chaayos Masala Tea Bag,159,10074980,Live,,Not - Live,,Not - Live,TEAH35UPTQHFCAXB,Live,40194562,Live
3672,Tea Bag,Chaayos Detox Kahwa Tea Bag,209,10248786,Live,14371,Live,5a1abe85-e69b-411c-8c76-93f5b94b8bcb,Live,,Not - Live,40348271,Live
5742,Premix,Chaayos Adrak Elaichi Premix Pack of 15,186,10191307,Live,872571,Live,102842f3-8ded-4069-a4d0-1448fc74f924,Live,,Not - Live,40348268,Live
4973,Premix,Chaayos Cardamom Tea Premix Pack of 15,168,10165635,Live,200836,Live,83ae76be-e951-4c27-a10b-455a2ed87b30,Live,TEAH35UP6Y82FRVY,Live,40348270,Live
4972,Premix,Chaayos Masala Tea Premix Pack of 15,168,10165477,Live,399295,Live,57d23528-9d15-4758-aa2a-1c9e25c9f94a,Live,TEAH35UHJQ3CPMXQ,Live,40194790,Live
5753,Premix,Chaayos Combo Premix Pack of 12,160,,Not - Live,972356,Live,807bf380-a82d-47af-9e43-2c80eecec08a,Live,,Not - Live,40348269,Live
6095,Premix,Chaayos Ginger Premix Pack of 4,59,10246947,Live,296538,Live,69a5e34f-19df-44b7-92bf-68858c3fadf0,Live,,Not - Live,,Not - Live
6097,Premix,Chaayos Masala Premix Pack of 4,59,10247656,Live,824209,Live,f9262d25-1d58-441b-b7a5-2b5d7438102d,Live,,Not - Live,,Not - Live
5907,Snacks,Chaayos Khakra,150,10247807,Live,202174,Live,292b0e0b-ae17-4488-93a8-dd8b1b1b285b,Live,,Not - Live,,Not - Live
,Discontinue,Discontinue,,10074975,,222666,,3ad8d322-1d96-48e5-b983-0a9edcabf737,,TEAH35UPN3ZB4CPY,,40357177,
,Discontinue,Discontinue,,10191316,,9383,,409eeea6-1f67-455a-90bf-40b99351df65,,,,40357178,
,Discontinue,Discontinue,,10174130,,614125,,9435fcfb-14d3-4be8-aac4-633805e1513c,,,,40357176,
,Discontinue,Discontinue,,10074974,,865241,,a3ecaa0e-c2b8-4480-b70a-c2fdaf5aabdc,,,,40194557,
,Discontinue,Discontinue,,10174324,,279655,,e00295b1-97f3-4127-8b38-7baa5dd3213f,,,,,
,Discontinue,Discontinue,,10248156,,9381,,,,,,,
,Discontinue,Discontinue,,,,557472,,,,,,,