start_date,end_date,date_range,source_city_name,brand_name,top_slug,mid_slug,leaf_slug,BB_identifier,sku_description,sku_weight,total_quantity,total_mrp,total_sales,internal_id,internal_name,Category
2025-10-01,2025-10-31,20251001 - 20251031,Bangalore,Chaayos,gourmet-world-food,drinks-beverages,gourmet-tea-tea-bags,40194562,Chaayos instant-desi-masala-chai-tea 25 pcs,25 pcs,61,11539,9480.2,1960.0,Chaayos Masala Tea Bag,Tea Bag
2025-10-01,2025-10-31,20251001 - 20251031,Gurgaon,Chaayos,beverages,tea,leaf-dust-tea,40348267,Chaayos desi-masala-chai-tea 250 g,250 g,2,658,558.0,5749.0,Chaayos Masala Tea 250g,Chai Patti
2025-10-01,2025-10-31,20251001 - 20251031,Mumbai,Chaayos,gourmet-world-food,drinks-beverages,gourmet-tea-tea-bags,40348270,Chaayos instant-cardamom-tea-premix 210 g  (14 g x 15),210 g,8,1512,1329.11,4973.0,Chaayos Cardamom Tea Premix Pack of 15,Premix
2025-10-01,2025-10-31,20251001 - 20251031,Mumbai,Chaayos,beverages,energy-soft-drinks,icetea-non-aerated-drink,40348265,Chaayos instant-lemon-iced-tea-premix 220 g  (20 g x 10),220 g,27,3213,2588.47,5916.0,Chaayos Lemon Iced Tea Premix,Ice Tea
2025-10-01,2025-10-31,20251001 - 20251031,Bangalore,Chaayos,gourmet-world-food,drinks-beverages,gourmet-tea-tea-bags,40348271,Chaayos detox-kahwa-herbal-green-tea 25 pcs,25 pcs,23,4807,3922.35,3672.0,Chaayos Detox Kahwa Tea Bag,Tea Bag
2025-10-01,2025-10-31,20251001 - 20251031,Mumbai,Chaayos,gourmet-world-food,drinks-beverages,gourmet-tea-tea-bags,40194559,Chaayos tea-blendchai-adrak-elaichi-premium-flavoured 100 g,100 g,3,597,447.4,1505.0,Chaayos Adrak Elaichi 100g,Chai Patti
2025-10-01,2025-10-31,20251001 - 20251031,Bangalore,Chaayos,beverages,tea,leaf-dust-tea,40348267,Chaayos desi-masala-chai-tea 250 g,250 g,24,7896,6951.2,5749.0,Chaayos Masala Tea 250g,Chai Patti
2025-10-01,2025-10-31,20251001 - 20251031,Nashik,Chaayos,gourmet-world-food,drinks-beverages,gourmet-tea-tea-bags,40194557,Chaayos instant-tea-premix-adrak-elaichi-low-sugar 180 g  (15 Sachet x 12 g each),180 g,1,375,299.0,,Discontinue,Discontinue
2025-10-01,2025-10-31,20251001 - 20251031,Bangalore,Chaayos,beverages,tea,leaf-dust-tea,40348266,Chaayos adrakh-elaichi-instant-chai-tea 250 g,250 g,35,10465,9283.95,5751.0,Chaayos Adrak Elaichi 250g,Chai Patti
2025-10-01,2025-10-31,20251001 - 20251031,Gurgaon,Chaayos,beverages,energy-soft-drinks,icetea-non-aerated-drink,40348265,Chaayos instant-lemon-iced-tea-premix 220 g  (20 g x 10),220 g,2,238,198.0,5916.0,Chaayos Lemon Iced Tea Premix,Ice Tea
2025-10-01,2025-10-31,20251001 - 20251031,Mysore,Chaayos,gourmet-world-food,drinks-beverages,gourmet-tea-tea-bags,40194557,Chaayos instant-tea-premix-adrak-elaichi-low-sugar 180 g  (15 Sachet x 12 g each),180 g,2,750,450.0,,Discontinue,Discontinue
2025-10-01,2025-10-31,20251001 - 20251031,Pune,Chaayos,beverages,tea,leaf-dust-tea,40348268,Chaayos adrakh-elaichi-instant-tea-premix 120 g  (15 x 8 g each),120 g,2,372,372.0,5742.0,Chaayos Adrak Elaichi Premix Pack of 15,Premix
2025-10-01,2025-10-31,20251001 - 20251031,Hyderabad,Chaayos,gourmet-world-food,drinks-beverages,gourmet-tea-tea-bags,40348269,Chaayos instant-chai-tea-premix-combo 168 g  (14 g x 12),168 g,22,3718,3077.83,5753.0,Chaayos Combo Premix Pack of 12,Premix
2025-10-01,2025-10-31,20251001 - 20251031,Hyderabad,Chaayos,gourmet-world-food,drinks-beverages,gourmet-tea-tea-bags,40194557,Chaayos instant-tea-premix-adrak-elaichi-low-sugar 180 g  (15 Sachet x 12 g each),180 g,4,1500,937.5,,Discontinue,Discontinue
2025-10-01,2025-10-31,20251001 - 20251031,Mumbai,Chaayos,beverages,tea,leaf-dust-tea,40348267,Chaayos desi-masala-chai-tea 250 g,250 g,18,5922,5423.3,5749.0,Chaayos Masala Tea 250g,Chai Patti
2025-10-01,2025-10-31,20251001 - 20251031,Hyderabad,Chaayos,beverages,tea,leaf-dust-tea,40348266,Chaayos adrakh-elaichi-instant-chai-tea 250 g,250 g,21,6279,5546.45,5751.0,Chaayos Adrak Elaichi 250g,Chai Patti
2025-10-01,2025-10-31,20251001 - 20251031,Hyderabad,Chaayos,gourmet-world-food,drinks-beverages,gourmet-tea-tea-bags,40194790,Chaayos instant-desi-masala-chai-tea 210 g  (Pack of 15),210 g,4,1500,799.5,4972.0,Chaayos Masala Tea Premix Pack of 15,Premix
2025-10-01,2025-10-31,20251001 - 20251031,Bangalore,Chaayos,beverages,energy-soft-drinks,icetea-non-aerated-drink,40348265,Chaayos instant-lemon-iced-tea-premix 220 g  (20 g x 10),220 g,28,3332,2309.05,5916.0,Chaayos Lemon Iced Tea Premix,Ice Tea
2025-10-01,2025-10-31,20251001 - 20251031,Gurgaon,Chaayos,beverages,tea,leaf-dust-tea,40348268,Chaayos adrakh-elaichi-instant-tea-premix 120 g  (15 x 8 g each),120 g,1,209,199.0,5742.0,Chaayos Adrak Elaichi Premix Pack of 15,Premix
2025-10-01,2025-10-31,20251001 - 20251031,Kochi Rural,Chaayos,gourmet-world-food,drinks-beverages,gourmet-tea-tea-bags,40194559,Chaayos tea-blendchai-adrak-elaichi-premium-flavoured 100 g,100 g,1,199,129.0,1505.0,Chaayos Adrak Elaichi 100g,Chai Patti
2025-10-01,2025-10-31,20251001 - 20251031,Mangaluru,Chaayos,gourmet-world-food,drinks-beverages,gourmet-tea-tea-bags,40194561,Chaayos chai-masala-spice-blend 100 g,100 g,1,199,129.0,1504.0,Chaayos Masala Tea 100g,Chai Patti
2025-10-01,2025-10-31,20251001 - 20251031,Chennai,Chaayos,gourmet-world-food,drinks-beverages,gourmet-tea-tea-bags,40194562,Chaayos instant-desi-masala-chai-tea 25 pcs,25 pcs,6,1034,884.4,1960.0,Chaayos Masala Tea Bag,Tea Bag
2025-10-01,2025-10-31,20251001 - 20251031,Hyderabad,Chaayos,beverages,energy-soft-drinks,icetea-non-aerated-drink,40348264,Chaayos instant-peach-iced-tea-premix 220 g  (22 g x 10),220 g,15,1785,1401.96,5915.0,Chaayos Peach Iced Tea Premix,Ice Tea
2025-10-01,2025-10-31,20251001 - 20251031,Pune,Chaayos,beverages,energy-soft-drinks,icetea-non-aerated-drink,40348265,Chaayos instant-lemon-iced-tea-premix 220 g  (20 g x 10),220 g,3,318,297.0,5916.0,Chaayos Lemon Iced Tea Premix,Ice Tea
2025-10-01,2025-10-31,20251001 - 20251031,Bangalore,Chaayos,beverages,tea,leaf-dust-tea,40348268,Chaayos adrakh-elaichi-instant-tea-premix 120 g  (15 x 8 g each),120 g,38,7942,6970.21,5742.0,Chaayos Adrak Elaichi Premix Pack of 15,Premix
2025-10-01,2025-10-31,20251001 - 20251031,Vijayawada-Guntur,Chaayos,gourmet-world-food,drinks-beverages,gourmet-tea-tea-bags,40194562,Chaayos instant-desi-masala-chai-tea 25 pcs,25 pcs,2,398,318.4,1960.0,Chaayos Masala Tea Bag,Tea Bag
2025-10-01,2025-10-31,20251001 - 20251031,Bangalore,Chaayos,snacks-branded-foods,chocolates-candies,gift-boxes,40357178,Chaayos festival-gift-box-masala-adrak-elaichi-chai 200 g  (2x100 g),200 g,1,649,599.0,,Discontinue,Discontinue
2025-10-01,2025-10-31,20251001 - 20251031,Pune,Chaayos,gourmet-world-food,drinks-beverages,gourmet-tea-tea-bags,40348269,Chaayos instant-chai-tea-premix-combo 168 g  (14 g x 12),168 g,1,150,150.0,5753.0,Chaayos Combo Premix Pack of 12,Premix
2025-10-01,2025-10-31,20251001 - 20251031,Kochi,Chaayos,gourmet-world-food,drinks-beverages,gourmet-tea-tea-bags,40194562,Chaayos instant-desi-masala-chai-tea 25 pcs,25 pcs,1,199,119.4,1960.0,Chaayos Masala Tea Bag,Tea Bag
2025-10-01,2025-10-31,20251001 - 20251031,Mumbai,Chaayos,gourmet-world-food,drinks-beverages,gourmet-tea-tea-bags,40348269,Chaayos instant-chai-tea-premix-combo 168 g  (14 g x 12),168 g,9,1521,1282.02,5753.0,Chaayos Combo Premix Pack of 12,Premix
2025-10-01,2025-10-31,20251001 - 20251031,Hyderabad,Chaayos,gourmet-world-food,drinks-beverages,gourmet-tea-tea-bags,40348270,Chaayos instant-cardamom-tea-premix 210 g  (14 g x 15),210 g,29,5481,4650.69,4973.0,Chaayos Cardamom Tea Premix Pack of 15,Premix
2025-10-01,2025-10-31,20251001 - 20251031,Kochi Rural,Chaayos,gourmet-world-food,drinks-beverages,gourmet-tea-tea-bags,40194790,Chaayos instant-desi-masala-chai-tea 210 g  (Pack of 15),210 g,1,375,179.0,4972.0,Chaayos Masala Tea Premix Pack of 15,Premix
2025-10-01,2025-10-31,20251001 - 20251031,Visakhapatnam,Chaayos,gourmet-world-food,drinks-beverages,gourmet-tea-tea-bags,40194557,Chaayos instant-tea-premix-adrak-elaichi-low-sugar 180 g  (15 Sachet x 12 g each),180 g,1,375,299.0,,Discontinue,Discontinue
2025-10-01,2025-10-31,20251001 - 20251031,Bangalore,Chaayos,gourmet-world-food,drinks-beverages,gourmet-tea-tea-bags,40194557,Chaayos instant-tea-premix-adrak-elaichi-low-sugar 180 g  (15 Sachet x 12 g each),180 g,23,8625,6432.32,,Discontinue,Discontinue
2025-10-01,2025-10-31,20251001 - 20251031,Mumbai,Chaayos,gourmet-world-food,drinks-beverages,gourmet-tea-tea-bags,40194562,Chaayos instant-desi-masala-chai-tea 25 pcs,25 pcs,10,1990,1480.8,1960.0,Chaayos Masala Tea Bag,Tea Bag
2025-10-01,2025-10-31,20251001 - 20251031,Gurgaon,Chaayos,snacks-branded-foods,chocolates-candies,gift-boxes,40357178,Chaayos festival-gift-box-masala-adrak-elaichi-chai 200 g  (2x100 g),200 g,9,5841,5391.0,,Discontinue,Discontinue
2025-10-01,2025-10-31,20251001 - 20251031,Bangalore,Chaayos,gourmet-world-food,drinks-beverages,gourmet-tea-tea-bags,40194559,Chaayos tea-blendchai-adrak-elaichi-premium-flavoured 100 g,100 g,41,7349,5739.0,1505.0,Chaayos Adrak Elaichi 100g,Chai Patti
2025-10-01,2025-10-31,20251001 - 20251031,Coimbatore,Chaayos,gourmet-world-food,drinks-beverages,gourmet-tea-tea-bags,40194557,Chaayos instant-tea-premix-adrak-elaichi-low-sugar 180 g  (15 Sachet x 12 g each),180 g,1,375,299.0,,Discontinue,Discontinue
2025-10-01,2025-10-31,20251001 - 20251031,Noida,Chaayos,snacks-branded-foods,chocolates-candies,gift-boxes,40357178,Chaayos festival-gift-box-masala-adrak-elaichi-chai 200 g  (2x100 g),200 g,1,649,599.0,,Discontinue,Discontinue
2025-10-01,2025-10-31,20251001 - 20251031,Hyderabad,Chaayos,gourmet-world-food,drinks-beverages,gourmet-tea-tea-bags,40348271,Chaayos detox-kahwa-herbal-green-tea 25 pcs,25 pcs,15,3135,2656.55,3672.0,Chaayos Detox Kahwa Tea Bag,Tea Bag
2025-10-01,2025-10-31,20251001 - 20251031,Bangalore,Chaayos,gourmet-world-food,drinks-beverages,gourmet-tea-tea-bags,40194790,Chaayos instant-desi-masala-chai-tea 210 g  (Pack of 15),210 g,14,5250,2506.0,4972.0,Chaayos Masala Tea Premix Pack of 15,Premix
2025-10-01,2025-10-31,20251001 - 20251031,Mumbai,Chaayos,beverages,energy-soft-drinks,icetea-non-aerated-drink,40348264,Chaayos instant-peach-iced-tea-premix 220 g  (22 g x 10),220 g,27,3213,2643.26,5915.0,Chaayos Peach Iced Tea Premix,Ice Tea
2025-10-01,2025-10-31,20251001 - 20251031,Visakhapatnam,Chaayos,gourmet-world-food,drinks-beverages,gourmet-tea-tea-bags,40194562,Chaayos instant-desi-masala-chai-tea 25 pcs,25 pcs,3,557,447.0,1960.0,Chaayos Masala Tea Bag,Tea Bag
2025-10-01,2025-10-31,20251001 - 20251031,Hyderabad,Chaayos,beverages,tea,leaf-dust-tea,40348267,Chaayos desi-masala-chai-tea 250 g,250 g,21,6909,6018.75,5749.0,Chaayos Masala Tea 250g,Chai Patti
2025-10-01,2025-10-31,20251001 - 20251031,Pune,Chaayos,beverages,tea,leaf-dust-tea,40348267,Chaayos desi-masala-chai-tea 250 g,250 g,1,190,190.0,5749.0,Chaayos Masala Tea 250g,Chai Patti
2025-10-01,2025-10-31,20251001 - 20251031,Coimbatore,Chaayos,gourmet-world-food,drinks-beverages,gourmet-tea-tea-bags,40194559,Chaayos tea-blendchai-adrak-elaichi-premium-flavoured 100 g,100 g,1,199,129.0,1505.0,Chaayos Adrak Elaichi 100g,Chai Patti
2025-10-01,2025-10-31,20251001 - 20251031,Visakhapatnam,Chaayos,gourmet-world-food,drinks-beverages,gourmet-tea-tea-bags,40194790,Chaayos instant-desi-masala-chai-tea 210 g  (Pack of 15),210 g,1,375,179.0,4972.0,Chaayos Masala Tea Premix Pack of 15,Premix
2025-10-01,2025-10-31,20251001 - 20251031,Bangalore,Chaayos,snacks-branded-foods,chocolates-candies,gift-boxes,40357176,Chaayos green-festival-gift-box-set-with-tea-snacks 1 pc,1 pc,1,1599,1499.0,,Discontinue,Discontinue
2025-10-01,2025-10-31,20251001 - 20251031,Bangalore,Chaayos,gourmet-world-food,drinks-beverages,gourmet-tea-tea-bags,40348269,Chaayos instant-chai-tea-premix-combo 168 g  (14 g x 12),168 g,35,5915,5194.37,5753.0,Chaayos Combo Premix Pack of 12,Premix
2025-10-01,2025-10-31,20251001 - 20251031,Bangalore,Chaayos,gourmet-world-food,drinks-beverages,gourmet-tea-tea-bags,40194561,Chaayos chai-masala-spice-blend 100 g,100 g,55,10945,7807.4,1504.0,Chaayos Masala Tea 100g,Chai Patti
2025-10-01,2025-10-31,20251001 - 20251031,Gurgaon,Chaayos,gourmet-world-food,drinks-beverages,gourmet-tea-tea-bags,40348271,Chaayos detox-kahwa-herbal-green-tea 25 pcs,25 pcs,1,209,199.0,3672.0,Chaayos Detox Kahwa Tea Bag,Tea Bag
2025-10-01,2025-10-31,20251001 - 20251031,Chennai,Chaayos,beverages,tea,leaf-dust-tea,40348268,Chaayos adrakh-elaichi-instant-tea-premix 120 g  (15 x 8 g each),120 g,1,186,186.0,5742.0,Chaayos Adrak Elaichi Premix Pack of 15,Premix
2025-10-01,2025-10-31,20251001 - 20251031,Bangalore Rural,Chaayos,gourmet-world-food,drinks-beverages,gourmet-tea-tea-bags,40194561,Chaayos chai-masala-spice-blend 100 g,100 g,1,199,129.0,1504.0,Chaayos Masala Tea 100g,Chai Patti
2025-10-01,2025-10-31,20251001 - 20251031,Bangalore,Chaayos,gourmet-world-food,drinks-beverages,gourmet-tea-tea-bags,40348270,Chaayos instant-cardamom-tea-premix 210 g  (14 g x 15),210 g,50,9450,7892.99,4973.0,Chaayos Cardamom Tea Premix Pack of 15,Premix
2025-10-01,2025-10-31,20251001 - 20251031,Hyderabad,Chaayos,beverages,energy-soft-drinks,icetea-non-aerated-drink,40348265,Chaayos instant-lemon-iced-tea-premix 220 g  (20 g x 10),220 g,16,1904,1395.6,5916.0,Chaayos Lemon Iced Tea Premix,Ice Tea
2025-10-01,2025-10-31,20251001 - 20251031,Mumbai,Chaayos,gourmet-world-food,drinks-beverages,gourmet-tea-tea-bags,40348271,Chaayos detox-kahwa-herbal-green-tea 25 pcs,25 pcs,6,1254,1088.6,3672.0,Chaayos Detox Kahwa Tea Bag,Tea Bag
2025-10-01,2025-10-31,20251001 - 20251031,Noida,Chaayos,snacks-branded-foods,chocolates-candies,gift-boxes,40357177,Chaayos pink-festival-gift-box-set-with-tea-snacks 1 pc  (Set of 5),1 pc,2,1998,1798.0,,Discontinue,Discontinue
2025-10-01,2025-10-31,20251001 - 20251031,Hyderabad Rural,Chaayos,gourmet-world-food,drinks-beverages,gourmet-tea-tea-bags,40194562,Chaayos instant-desi-masala-chai-tea 25 pcs,25 pcs,1,159,149.0,1960.0,Chaayos Masala Tea Bag,Tea Bag
2025-10-01,2025-10-31,20251001 - 20251031,Chennai,Chaayos,gourmet-world-food,drinks-beverages,gourmet-tea-tea-bags,40194790,Chaayos instant-desi-masala-chai-tea 210 g  (Pack of 15),210 g,2,750,358.0,4972.0,Chaayos Masala Tea Premix Pack of 15,Premix
2025-10-01,2025-10-31,20251001 - 20251031,Chennai,Chaayos,gourmet-world-food,drinks-beverages,gourmet-tea-tea-bags,40194557,Chaayos instant-tea-premix-adrak-elaichi-low-sugar 180 g  (15 Sachet x 12 g each),180 g,2,750,450.0,,Discontinue,Discontinue
2025-10-01,2025-10-31,20251001 - 20251031,Gurgaon,Chaayos,snacks-branded-foods,chocolates-candies,gift-boxes,40357176,Chaayos green-festival-gift-box-set-with-tea-snacks 1 pc,1 pc,1,1599,1499.0,,Discontinue,Discontinue
2025-10-01,2025-10-31,20251001 - 20251031,Mumbai,Chaayos,beverages,tea,leaf-dust-tea,40348266,Chaayos adrakh-elaichi-instant-chai-tea 250 g,250 g,32,9568,9254.05,5751.0,Chaayos Adrak Elaichi 250g,Chai Patti
2025-10-01,2025-10-31,20251001 - 20251031,Hyderabad,Chaayos,beverages,tea,leaf-dust-tea,40348268,Chaayos adrakh-elaichi-instant-tea-premix 120 g  (15 x 8 g each),120 g,23,4807,4111.39,5742.0,Chaayos Adrak Elaichi Premix Pack of 15,Premix
2025-10-01,2025-10-31,20251001 - 20251031,Chennai,Chaayos,gourmet-world-food,drinks-beverages,gourmet-tea-tea-bags,40194561,Chaayos chai-masala-spice-blend 100 g,100 g,4,796,496.8,1504.0,Chaayos Masala Tea 100g,Chai Patti
2025-10-01,2025-10-31,20251001 - 20251031,Coimbatore,Chaayos,gourmet-world-food,drinks-beverages,gourmet-tea-tea-bags,40194562,Chaayos instant-desi-masala-chai-tea 25 pcs,25 pcs,2,318,318.0,1960.0,Chaayos Masala Tea Bag,Tea Bag
2025-10-01,2025-10-31,20251001 - 20251031,Hyderabad,Chaayos,gourmet-world-food,drinks-beverages,gourmet-tea-tea-bags,40194562,Chaayos instant-desi-masala-chai-tea 25 pcs,25 pcs,12,2148,1838.3,1960.0,Chaayos Masala Tea Bag,Tea Bag
2025-10-01,2025-10-31,20251001 - 20251031,Pune,Chaayos,beverages,energy-soft-drinks,icetea-non-aerated-drink,40348264,Chaayos instant-peach-iced-tea-premix 220 g  (22 g x 10),220 g,2,212,198.0,5915.0,Chaayos Peach Iced Tea Premix,Ice Tea
2025-10-01,2025-10-31,20251001 - 20251031,Gurgaon,Chaayos,gourmet-world-food,drinks-beverages,gourmet-tea-tea-bags,40348270,Chaayos instant-cardamom-tea-premix 210 g  (14 g x 15),210 g,1,189,179.0,4973.0,Chaayos Cardamom Tea Premix Pack of 15,Premix
2025-10-01,2025-10-31,20251001 - 20251031,Noida,Chaayos,snacks-branded-foods,chocolates-candies,gift-boxes,40357176,Chaayos green-festival-gift-box-set-with-tea-snacks 1 pc,1 pc,2,3198,2998.0,,Discontinue,Discontinue
2025-10-01,2025-10-31,20251001 - 20251031,Mumbai,Chaayos,beverages,tea,leaf-dust-tea,40348268,Chaayos adrakh-elaichi-instant-tea-premix 120 g  (15 x 8 g each),120 g,34,7106,6471.42,5742.0,Chaayos Adrak Elaichi Premix Pack of 15,Premix
2025-10-01,2025-10-31,20251001 - 20251031,Mumbai,Chaayos,gourmet-world-food,drinks-beverages,gourmet-tea-tea-bags,40194557,Chaayos instant-tea-premix-adrak-elaichi-low-sugar 180 g  (15 Sachet x 12 g each),180 g,5,1875,1421.0,,Discontinue,Discontinue
2025-10-01,2025-10-31,20251001 - 20251031,Pune,Chaayos,beverages,tea,leaf-dust-tea,40348266,Chaayos adrakh-elaichi-instant-chai-tea 250 g,250 g,1,200,200.0,5751.0,Chaayos Adrak Elaichi 250g,Chai Patti
2025-10-01,2025-10-31,20251001 - 20251031,Mumbai,Chaayos,gourmet-world-food,drinks-beverages,gourmet-tea-tea-bags,40194790,Chaayos instant-desi-masala-chai-tea 210 g  (Pack of 15),210 g,14,5250,2506.0,4972.0,Chaayos Masala Tea Premix Pack of 15,Premix
2025-10-01,2025-10-31,20251001 - 20251031,Bangalore,Chaayos,beverages,energy-soft-drinks,icetea-non-aerated-drink,40348264,Chaayos instant-peach-iced-tea-premix 220 g  (22 g x 10),220 g,30,3570,2770.12,5915.0,Chaayos Peach Iced Tea Premix,Ice Tea
2025-11-01,2025-11-30,20251101 - 20251130,Hyderabad,Chaayos,gourmet-world-food,drinks-beverages,gourmet-tea-tea-bags,40348271,Chaayos detox-kahwa-herbal-green-tea 25 pcs,25 pcs,19,3971,3596.15,3672.0,Chaayos Detox Kahwa Tea Bag,Tea Bag
2025-11-01,2025-11-30,20251101 - 20251130,Bangalore,Chaayos,gourmet-world-food,drinks-beverages,gourmet-tea-tea-bags,40194790,Chaayos instant-desi-masala-chai-tea 210 g  (Pack of 15),210 g,4,1500,1425.0,4972.0,Chaayos Masala Tea Premix Pack of 15,Premix
2025-11-01,2025-11-30,20251101 - 20251130,Bangalore,Chaayos,gourmet-world-food,drinks-beverages,gourmet-tea-tea-bags,40194562,Chaayos instant-desi-masala-chai-tea 25 pcs,25 pcs,39,7441,5811.0,1960.0,Chaayos Masala Tea Bag,Tea Bag
2025-11-01,2025-11-30,20251101 - 20251130,Ahmedabad-Gandhinagar,Chaayos,gourmet-world-food,drinks-beverages,gourmet-tea-tea-bags,40348269,Chaayos instant-chai-tea-premix-combo 168 g  (14 g x 12),168 g,2,338,317.72,5753.0,Chaayos Combo Premix Pack of 12,Premix
2025-11-01,2025-11-30,20251101 - 20251130,Gurgaon,Chaayos,beverages,tea,leaf-dust-tea,40348267,Chaayos desi-masala-chai-tea 250 g,250 g,8,2632,2232.0,5749.0,Chaayos Masala Tea 250g,Chai Patti
2025-11-01,2025-11-30,20251101 - 20251130,Mumbai,Chaayos,gourmet-world-food,drinks-beverages,gourmet-tea-tea-bags,40348270,Chaayos instant-cardamom-tea-premix 210 g  (14 g x 15),210 g,2,378,321.3,4973.0,Chaayos Cardamom Tea Premix Pack of 15,Premix
2025-11-01,2025-11-30,20251101 - 20251130,Bangalore Rural,Chaayos,gourmet-world-food,drinks-beverages,gourmet-tea-tea-bags,40194562,Chaayos instant-desi-masala-chai-tea 25 pcs,25 pcs,1,199,149.0,1960.0,Chaayos Masala Tea Bag,Tea Bag
